idx,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
465,0.096535385,0.018284898,52.395573,0.11612916,94.6441650390625,99.285888671875,99.98779296875
466,0.33573896,12.764241,130.9278,1.4511331,44.829890019529245,92.41614417377599,96.95754959399733
467,0.30936456,0.16881025,126.608345,0.22169968,47.57080078125,87.08038330078125,96.6766357421875
468,0.06738433,0.010678271,35.92364,0.115945004,92.77801513671875,99.0814208984375,99.61395263671875
469,0.10176161,0.021710206,62.578312,0.15603612,86.91864013671875,98.22845458984375,99.50103759765625
470,0.056912653,0.0050123064,29.810432,0.11404738,99.713134765625,100.0,100.0
471,0.15357195,4.1726875,61.475258,2.770506,87.57951008255515,92.06590878332656,93.37867099742861
472,0.1949556,0.06907827,66.08814,0.23079957,69.42901611328125,94.744873046875,99.0875244140625
473,0.11578182,0.04397273,74.5124,0.28500998,89.6484375,97.0916748046875,98.86322021484375
474,0.12042808,1.1091123,72.98349,2.4180024,87.79921716724691,96.45758344643103,97.26795303003482
475,0.07228257,0.020386677,40.624866,0.12185767,93.1976318359375,98.8372802734375,99.44610595703125
476,0.1306962,0.03953889,86.21889,0.19600047,88.04931640625,96.5911865234375,99.38812255859375
477,0.11800171,6.760365,52.841022,2.3952582,92.10636249704851,94.47844960677116,95.45561872241495
478,0.2679729,244.8483,80.842964,2.4389975,81.33273539621638,88.6724135067351,90.79010746258741
479,0.22548963,0.18102899,90.39581,0.29854658,74.98626708984375,90.26947021484375,95.770263671875
480,0.15439548,1.1702038,59.10232,0.9623951,80.93125364610519,96.60413276428505,97.84611133286253
481,0.3389608,16.673538,65.74816,3.81398,67.37240809983976,82.81292996001878,90.23778306544294
482,0.48463595,2639.5115,56.130928,2.534924,70.83186707262963,89.47199314554996,93.98705610550957
483,0.20865361,0.17522627,66.236206,0.34413278,76.59993285927915,92.89681691946166,95.600756859035
484,0.5339201,159.00606,124.34135,3.2748551,59.18394828979262,85.3449270901466,90.03693586241391
485,0.2869598,0.27514192,161.47874,1.4489465,39.137214964276055,94.38760084655411,97.99977722260236
486,0.18667962,0.06683738,94.35652,0.24313872,74.920654296875,96.04644775390625,99.08599853515625
487,0.11457607,0.02759502,39.313747,0.16927433,85.00518798828125,98.5321044921875,99.566650390625
488,0.22612306,0.081740074,72.58401,1.0894089,72.381591796875,91.89300537109375,97.4334716796875
489,0.21336114,0.05957348,145.73993,0.17786606,56.45751953125,99.0997314453125,99.91912841796875
490,0.11941743,0.0650103,48.977615,3.8558247,91.42287234042553,93.15159574468085,93.70478723404256
491,0.085827805,0.018404093,40.547295,0.17072192,92.4102783203125,96.881103515625,98.2635498046875
492,0.07865707,0.012811118,44.21258,0.1625679,93.6859130859375,98.57940673828125,99.5147705078125
493,0.05236659,0.02151489,39.443367,1.3490252,98.64266991669032,99.06005309113979,99.26874467836453
494,0.0795543,0.010649788,63.04566,0.128615,96.77886962890625,99.21722412109375,99.76654052734375
495,0.06657607,0.009379171,54.452465,0.14923868,97.1832275390625,98.9288330078125,99.42779541015625
496,0.13923848,4.184963,62.63724,1.6564637,88.44349601721886,96.79721849187807,97.7133501352122
